geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04, -Log.p.value,Student's T-test q-value daf2_d15_N2_d15,log2FC,Student's T-test Test statistic daf2_d15_N2_d15,Sign p-val: 0.05 
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",0.393467,0.497412,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.2176,14.4117,13.4286,13.2425,13.3137,12.9601,13.441,14.0119,0.497412,0.248231,0.393467,1.08858,
spp-18,-0.892442,1.54382,A0A061AKY5;Q19837,SaPosin-like Protein family,16.5696,15.9392,15.6755,16.5092,16.8055,17.5007,17.378,16.5791,1.54382,0.0249128,-0.892442,-2.8657,+
lin-66,2.28236,5.07084,A0A061AL58;O62020,Uncharacterized protein,14.5355,14.6999,14.4939,14.9344,12.317,12.1892,12.2635,12.7647,5.07084,0,2.28236,13.9394,+
"CELE_F09E10,7",0.583312,0.392214,A0A078BPG0,Uncharacterized protein,14.2578,13.9932,14.6474,15.1687,15.7195,13.3313,13.1655,13.5176,0.392214,0.329977,0.583312,0.894896,
"CELE_F10C1,9",-0.300791,0.378319,A0A078BPH9;G4S1A4,Uncharacterized protein,12.2985,11.947,12.4792,11.8912,13.0658,12.3597,12.7821,11.6115,0.378319,0.34222,-0.300791,-0.868528,
itx-1,-0.0748525,0.370153,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.2263,15.4442,15.1319,15.1181,15.3792,15.1967,15.3792,15.2648,0.370153,0.349153,-0.0748525,-0.85293,
"CELE_Y41E3,7",-0.939014,1.39147,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3675,14.3236,13.5239,14.0069,14.6143,15.5077,15.5166,14.3394,1.39147,0.0338826,-0.939014,-2.60114,+
"CELE_Y105C5B,15",0.27684,0.685436,A0A078BQP7;Q9U309,Purple acid phosphatase,14.3337,14.6362,14.8568,15.0861,14.2368,14.7536,14.3432,14.4718,0.685436,0.154821,0.27684,1.41672,
lim-9,-0.00302982,0.00334114,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,13.9325,14.4416,14.4983,14.9111,14.2082,15.1166,14.3389,14.132,0.00334114,0.989616,-0.00302982,-0.0100121,
"CELE_Y105E8A,25",-1.67761,2.34172,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.1338,12.4764,12.0041,13.3743,14.9721,14.2083,13.9657,14.553,2.34172,0.00526091,-1.67761,-4.40316,+
pgp-2,0.187872,0.581586,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.5517,15.5128,15.1444,15.5406,15.439,14.9654,15.155,15.4384,0.581586,0.201068,0.187872,1.23768,
lpd-3,1.70532,1.62473,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,17.5258,16.8627,17.8107,18.2929,17.1681,14.8397,15.6861,15.9769,1.62473,0.0213214,1.70532,3.00908,+
tln-1,-0.281905,0.288893,A0A0K3AQU9,TaLiN,14.028,14.6544,14.7886,14.9017,14.5501,14.8535,14.223,15.8737,0.288893,0.433346,-0.281905,-0.693094,
max-2,-2.15368,1.79119,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,12.3222,12.2655,14.0327,12.933,15.6531,14.5138,13.9053,16.096,1.79119,0.0157337,-2.15368,-3.31155,+
egl-27,1.27726,0.742122,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,16.4987,14.5871,16.1889,15.6524,14.2126,14.6101,16.28,12.7153,0.742122,0.134814,1.27726,1.51284,
cdc-14,-0.243827,0.417493,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.6871,11.8917,11.7372,12.0707,11.742,11.9868,11.8271,12.8061,0.417493,0.308183,-0.243827,-0.942351,
daf-16,-0.483224,1.49632,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,11.7855,12.0595,11.7779,12.0944,12.5541,12.0724,12.2682,12.7554,1.49632,0.0272074,-0.483224,-2.78249,+
"CELE_T16H12,3;T16H12,3",-0.426665,1.14058,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.1525,12.0584,11.7014,11.8513,12.5835,12.0612,12.1027,12.7229,1.14058,0.057526,-0.426665,-2.17712,
lev-11,-3.06063,3.60313,A0A0K3ARC0,Uncharacterized protein,12.0055,13.1996,12.879,13.5371,16.2472,15.6724,15.509,16.4352,3.60313,0.00108837,-3.06063,-7.71113,+
gld-2,0.108632,0.0638847,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.3058,11.3864,11.6527,12.033,12.5522,11.2392,10.3677,12.7843,0.0638847,0.822722,0.108632,0.179827,
ncl-1,-0.65287,1.30935,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,12.2917,11.4481,11.3373,12.0885,12.542,12.1807,12.316,12.7383,1.30935,0.0399056,-0.65287,-2.46102,+
"CELE_D1069,3",-0.418754,1.80697,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.0465,11.8805,11.7464,12.0446,12.3731,12.0944,12.3316,12.5939,1.80697,0.0155164,-0.418754,-3.34078,+
lin-23,0.733638,1.16956,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,16.8271,16.1133,16.3452,16.5303,15.6396,15.0569,16.4845,15.7004,1.16956,0.0538015,0.733638,2.22557,
"CELE_Y50D4B,1",-0.266121,0.680272,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.3083,12.0572,11.5711,11.9796,12.4011,12.1045,12.01,12.4652,0.680272,0.156504,-0.266121,-1.40792,
"CELE_Y39A1A,21",-0.455621,1.38549,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.8309,11.9709,11.7413,12.0859,12.3942,12.0197,12.2596,12.778,1.38549,0.0343954,-0.455621,-2.59087,+
dre-1,-0.523247,0.315211,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.8318,15.248,16.804,17.2428,15.5708,18.1573,16.945,16.5466,0.315211,0.40362,-0.523247,-0.74586,
gck-1,0.606873,0.716673,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.9486,16.6889,15.6395,15.4748,15.0399,14.6068,16.002,15.6756,0.716673,0.142812,0.606873,1.4698,
gly-7,-0.476095,0.163574,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.241,14.1866,15.5177,11.1818,13.0861,12.734,14.7532,15.4581,0.163574,0.61279,-0.476095,-0.424268,
"CELE_F40A3,3;F40A3,3",0.840453,2.16268,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.6079,18.7012,18.5758,18.6198,17.5826,18.1105,18.1486,17.3012,2.16268,0.0078112,0.840453,4.03059,+
"CELE_Y50D4B,4",-0.961432,2.66277,A0A0K3ASH9,Uncharacterized protein,14.152,14.1712,13.9178,13.872,14.7283,14.6614,15.269,15.3,2.66277,0.00331762,-0.961432,-5.12206,+
cdf-1,-0.554348,1.78242,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,11.5121,12.0259,11.6543,12.0479,12.5581,12.1584,12.2233,12.5177,1.78242,0.0160669,-0.554348,-3.29534,+
unc-34,-0.799741,0.68631,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,14.846,15.3107,14.6993,14.6516,15.5482,16.6145,16.3491,14.1947,0.68631,0.154593,-0.799741,-1.41821,
tbh-1,0.62539,1.37031,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.7529,17.8255,17.6134,17.8,17.2381,16.7317,16.769,17.7514,1.37031,0.0353109,0.62539,2.56488,+
lev-11,-0.0350447,0.0478889,A0A0K3ATS1,Uncharacterized protein,22.0097,20.8857,21.353,21.3849,21.3013,21.6226,21.6428,21.2067,0.0478889,0.864982,-0.0350447,-0.136892,
imp-3,0.561044,0.138879,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,14.8424,15.6232,15.2432,9.27069,13.22,13.9208,12.4619,13.1327,0.138879,0.660424,0.561044,0.366868,
prdx-2,0.143882,0.317473,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.5481,21.431,21.9352,21.9874,21.1967,21.7105,21.6292,21.7899,0.317473,0.401242,0.143882,0.750349,
jhdm-1,0.222598,0.4127,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.3262,14.4487,14.2435,14.1746,13.8697,14.0829,13.6371,14.7129,0.4127,0.311676,0.222598,0.933404,
mrck-1,-1.2831,2.06582,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.2878,11.9467,11.7135,11.4571,12.4491,13.8097,13.2853,12.9935,2.06582,0.00910861,-1.2831,-3.83652,+
nhr-86,-0.761854,1.30102,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,11.8844,12.058,10.8493,11.4062,12.3474,11.9073,12.338,12.6526,1.30102,0.0404964,-0.761854,-2.44689,+
aat-3,-0.885716,0.755271,A0A0K3AVL7;O17395,Amino Acid Transporter,12.7838,14.2457,13.8184,11.8336,13.7955,13.7154,14.1138,14.5997,0.755271,0.131431,-0.885716,-1.53501,
"CELE_M02H5,8",0.652253,2.56216,A0A0K3AVS5,Uncharacterized protein,17.177,17.306,17.2586,17.621,16.7706,16.4557,16.8819,16.6453,2.56216,0.00363299,0.652253,4.88922,+
"CELE_T08B1,1",-0.60884,1.12771,A0A0K3AVV4,Uncharacterized protein,14.5049,14.2596,14.5014,15.4723,15.2299,15.0815,15.4726,15.3896,1.12771,0.0587482,-0.60884,-2.15565,
lipl-5,-0.403347,0.252516,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.65,11.7346,11.3934,10.8491,12.5115,12.7463,12.3242,11.6584,0.252516,0.47825,-0.403347,-0.618315,
fln-2,0.578565,3.42432,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.8634,16.9329,16.9231,17.082,16.5033,16.4151,16.1892,16.3794,3.42432,0.0013703,0.578565,7.15332,+
"C14C6,5",-0.718398,1.38523,A0A0K3AXM4;O44667,Uncharacterized protein,17.1087,16.9448,16.2745,16.4609,17.5557,17.1518,17.0527,17.9023,1.38523,0.0344038,-0.718398,-2.59043,+
"CELE_T08B1,1",-2.47676,0.335927,A0A0K3AY44,Uncharacterized protein,11.1797,0,11.7027,11.9444,12.2605,7.56696,12.2317,12.6748,0.335927,0.382681,-2.47676,-0.786692,
zig-11,-4.14893,5.23644,A0A0K3AY85,2 (Zwei) IG domain protein,11.6281,11.721,12.6924,12.1074,16.2769,15.7868,16.4307,16.2501,5.23644,0,-4.14893,-14.8779,+
ilys-5,-2.66342,3.42469,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,12.4012,13.0067,12.079,12.7615,15.3527,14.6582,14.8408,16.0504,3.42469,0.00137302,-2.66342,-7.15445,+
irg-3,0.77053,2.66289,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.969,17.1551,16.6583,16.6533,16.2616,16.172,15.862,16.0581,2.66289,0.00332135,0.77053,5.12234,+
tns-1,0.403073,0.530712,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.548,15.909,14.9418,15.2816,15.7967,15.0843,14.5449,14.6423,0.530712,0.228832,0.403073,1.14809,
ubr-4,-2.60958,2.99872,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,12.8848,11.3349,11.9022,11.0724,14.6862,14.2663,14.7037,13.9764,2.99872,0.00256734,-2.60958,-5.95548,+
ccar-1,-0.86835,1.28991,A0A0S4XR43,CCAR1 homolog,14.3554,14.8698,15.2589,15.5152,15.6838,15.4989,15.6726,16.6174,1.28991,0.0414295,-0.86835,-2.42808,+
ulp-2,-2.20929,1.436,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,10.3791,12.9526,13.9639,12.0798,14.3568,14.8961,13.7463,15.2134,1.436,0.0309386,-2.20929,-2.67779,+
"CELE_T23F4,2",2.05858,2.02566,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,15.6695,15.2273,15.0333,15.8729,13.7214,11.8686,13.9238,14.055,2.02566,0.00962336,2.05858,3.7575,+
sago-1,-0.596348,0.654473,A0A0T7CIX3,Piwi-like protein,14.2199,14.5321,13.2238,13.2607,14.6002,14.504,13.5997,14.9181,0.654473,0.16655,-0.596348,-1.36379,
sago-2,-0.203918,0.09403,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.5608,13.9,15.9433,15.3709,13.6746,16.7754,14.7026,15.4382,0.09403,0.752616,-0.203918,-0.2576,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-1.93066,1.66349,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",11.9446,14.1103,12.5545,11.976,15.4848,13.7097,14.7137,14.3998,1.66349,0.0194534,-1.93066,-3.07858,+
daf-4,-0.234645,0.223897,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.2522,14.2834,15.2578,15.1575,14.2304,15.7894,15.0189,14.8508,0.223897,0.516922,-0.234645,-0.557776,
hpo-3,-0.340048,0.697251,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.1904,11.6131,12.4417,12.0958,12.5497,12.0427,12.3137,12.7951,0.697251,0.150455,-0.340048,-1.43683,
acs-22,0.716093,0.916841,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.8595,14.4487,14.6613,15.687,13.7891,14.413,14.9177,13.6723,0.916841,0.0915656,0.716093,1.80504,
tag-10,-0.609066,2.04886,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,14.9965,15.5489,15.1183,15.4392,15.9353,15.9125,15.6252,16.0664,2.04886,0.00942794,-0.609066,-3.80304,+
imb-2,-0.66458,1.3515,A0A131MBF9;O62332,IMportin Beta family,13.7875,14.0472,14.1074,13.9659,14.6552,13.9765,15.2055,14.7292,1.3515,0.0368929,-0.66458,-2.53275,+
brf-1,-0.368747,0.583706,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.2141,11.9291,11.7245,12.0408,12.9838,12.6423,11.8547,11.9026,0.583706,0.200092,-0.368747,-1.24139,
"CELE_W09B6,4",-2.92718,2.50118,A0A131MBG4;H2L0M1,Uncharacterized protein,10.7789,10.776,11.2011,10.8951,12.5637,13.6647,13.638,15.4934,2.50118,0.00430405,-2.92718,-4.75155,+
irg-7,-0.697267,2.23566,A0A131MBU3,Protein irg-7,18.2469,18.4921,18.0862,18.343,19.3032,18.6666,18.8452,19.1423,2.23566,0.00674055,-0.697267,-4.1802,+
"CELE_F27B10,1",1.6205,3.2256,A0A131MCJ0,Uncharacterized protein,14.1769,14.1706,13.6974,13.3656,12.5327,12.146,11.8592,12.3906,3.2256,0.00193898,1.6205,6.5725,+
"CELE_T22F3,3",-0.562014,1.83266,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.2741,11.8514,11.6321,11.9399,12.4841,12.438,12.2738,12.7496,1.83266,0.0145552,-0.562014,-3.38861,+
die-1,1.63483,4.00296,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,14.1267,14.1581,13.718,14.0143,12.5758,12.0228,12.2221,12.657,4.00296,0.00102041,1.63483,9.09332,+
dhs-11,0.409577,1.02546,A0A163UT65,"DeHydrogenases, Short chain",15.2906,15.2906,14.9485,15.2859,14.7328,14.5548,14.5467,15.3431,1.02546,0.072859,0.409577,1.98547,
tbc-14,0.17671,0.291923,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.6701,15.3405,14.7615,15.7224,14.9593,15.0688,14.8847,14.875,0.291923,0.429753,0.17671,0.699222,
cyp-34a6,2.61035,2.20434,A0A164D3C9;O44656,CYtochrome P450 family,15.7529,15.3083,15.6958,16.429,13.0764,11.5576,14.0873,14.0232,2.20434,0.00726073,2.61035,4.11562,+
fipp-1,0.483575,0.824973,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.4699,14.4148,15.4962,14.9293,14.9299,14.6095,14.5956,14.2408,0.824973,0.111255,0.483575,1.65195,
unc-132,-0.172475,0.1405,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.0168,15.8241,14.2198,14.1418,15.1687,14.3471,14.4985,14.8781,0.1405,0.657306,-0.172475,-0.370693,
cdh-4,1.91404,2.44957,A0A1C3NSI5;Q19319,Cadherin-4,15.6143,15.803,15.3881,15.7427,14.5779,13.0921,12.9828,14.2392,2.44957,0.00460399,1.91404,4.63699,+
ajm-1,-0.14516,0.541464,A0A1C3NSL1,Apical Junction Molecule,11.9171,12.2049,12.2413,12.078,12.0427,12.1788,12.2816,12.5187,0.541464,0.222545,-0.14516,-1.16715,
"CELE_ZC412,3",0.785687,2.81002,A0A1C3NSL5,Uncharacterized protein,18.7993,19.158,18.5913,18.9076,18.1896,17.836,18.1577,18.1301,2.81002,0.00305355,0.785687,5.47632,+
farl-11,-0.55832,1.67928,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,11.6659,11.9376,11.7363,11.9968,12.5083,12.0778,12.1917,12.7921,1.67928,0.01876,-0.55832,-3.10704,+
let-711,-1.37871,3.00728,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.317,14.6147,14.2337,13.9844,15.8793,15.3042,15.3884,16.0928,3.00728,0.00239653,-1.37871,-5.97792,+
"C40H1,7",-2.6382,3.42103,A0A1I6CM73,Uncharacterized protein,12.0296,11.8316,11.6299,11.6139,14.075,14.7573,13.61,15.2156,3.42103,0.0013622,-2.6382,-7.14337,+
spat-2,0.703972,0.596069,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.4036,15.1741,15.4845,14.2731,14.5529,14.9108,15.0863,12.9694,0.596069,0.193818,0.703972,1.26293,
aakg-1,-1.41913,1.6209,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,13.3827,13.5771,12.9542,11.7949,14.7717,14.7973,13.9239,13.8926,1.6209,0.0214067,-1.41913,-3.00225,+
grl-23,3.13275,4.12049,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),15.0814,15.9583,15.9012,14.9412,12.3988,11.8428,12.335,12.7745,4.12049,0.000935849,3.13275,9.53868,+
spat-2,-3.44754,0.474486,A0A1I6CM95,Suppressor of PAr-Two defect,13.5757,0,12.8483,12.9887,12.8533,13.2564,13.5538,13.5393,0.474486,0.264088,-3.44754,-1.04717,
"CELE_Y55F3BR,6",-0.334501,0.718522,A0A1I6CMC9,Uncharacterized protein,12.277,11.8445,11.4988,11.9791,11.8997,12.0767,12.3249,12.6361,0.718522,0.142303,-0.334501,-1.47293,
vab-10,-0.49179,1.03066,A0A1N7SYP3,Uncharacterized protein,18.6546,18.747,18.9479,19.3414,19.1162,19.7155,19.0447,19.7817,1.03066,0.0721486,-0.49179,-1.99412,
"eif-3,l;eif-3,L",-1.56821,3.87312,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,16.776,16.9279,16.7213,17.0443,17.9479,18.6287,18.6657,18.5,3.87312,0.00130909,-1.56821,-8.6227,+
"npp-25;npp-25;npp-25;Y37D8A,17",-0.663585,0.536646,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.7991,13.8354,15.6027,14.8009,14.3938,16.0699,16.2536,14.9752,0.536646,0.225311,-0.663585,-1.15862,
cnt-1,-2.78529,4.63449,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.3188,12.009,11.6344,12.0701,14.7335,15.1038,14.2772,15.059,4.63449,0,-2.78529,-11.7268,+
"C26G2,2",-0.150895,0.280231,A0A1N7SYU2,Uncharacterized protein,12.1931,12.02,12.5006,11.8892,12.0976,12.594,11.8982,12.6167,0.280231,0.443109,-0.150895,-0.67549,
"CELE_F43B10,1",-2.93665,1.78141,A0A1N7SYW5,Uncharacterized protein,12.2988,12.0911,11.7374,12.0829,16.9676,12.6693,15.2697,15.0502,1.78141,0.0160841,-2.93665,-3.29346,+
ubc-15,0.202102,0.207715,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,15.4607,14.5094,15.3042,16.102,15.4401,14.7199,14.8632,15.5447,0.207715,0.540981,0.202102,0.522801,
"CELE_Y55F3BR,10",-2.74104,2.78075,A0A9S0,Uncharacterized protein,12.2833,11.8588,11.4381,11.8065,15.0545,14.4322,13.3283,15.5359,2.78075,0.00297573,-2.74104,-5.40457,+
"CELE_Y38F2AR,12",0.964372,2.36189,A0A9S2,Uncharacterized protein,14.2153,14.5405,14.2648,14.7663,13.4022,13.7541,13.7528,13.0202,2.36189,0.00525224,0.964372,4.44632,+
ttr-42,0.576217,1.37784,A2V8C3,TransThyretin-Related family domain,18.4719,18.5188,18.6231,18.8389,17.5558,17.8404,18.4754,18.2763,1.37784,0.0348122,0.576217,2.57776,+
"CELE_H29C22,1",-0.191142,0.224861,A2V8C8,Uncharacterized protein,17.4455,18.0514,18.6233,18.8419,18.1007,18.3741,18.7573,18.4946,0.224861,0.515829,-0.191142,-0.559843,
